"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1767, 3.265759348869320e-02, -2.278346754610540e-02, 4.787582659561664e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.095597882802991e+05, 0.000000000000000e+00, 4.382391531211964e+04, 3.188784979445783e+02, 0.000000000000000e+00, 3.200608314971776e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.933909652559485e-05, 3.483382450263140e-03, -1.146334469588105e-03, -5.598902634120474e+02, 2.956598312634043e+00, 0.000000000000000e+00
1793, 2.861636877059940e-02, -2.140477113425730e-02, 4.855935127151697e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.111644557848965e+05, 0.000000000000000e+00, 4.446578231395861e+04, 3.189946553690680e+02, 0.000000000000000e+00, 3.607837158819776e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.934443006403195e-05, 3.404928711055669e-03, -1.215380255607979e-03, -5.398007012926679e+02, 2.945694918624342e+00, 0.000000000000000e+00
1819, 2.490270137786870e-02, -2.001537941396240e-02, 4.938126434198883e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.130914505919740e+05, 0.000000000000000e+00, 4.523658023678960e+04, 3.191228530488675e+02, 0.000000000000000e+00, 4.096865487204936e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.935031533217558e-05, 3.302326945370152e-03, -1.279292373232819e-03, -5.030013235268690e+02, 2.928025649666555e+00, 0.000000000000000e+00
1845, 2.143678069114690e-02, -1.862346194684510e-02, 5.016046562630858e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.149310736234435e+05, 0.000000000000000e+00, 4.597242944937737e+04, 3.192759758833579e+02, 0.000000000000000e+00, 4.563720806500127e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.935734332408898e-05, 3.183787759377917e-03, -1.324452966688306e-03, -4.633243778352058e+02, 2.899295249403038e+00, 0.000000000000000e+00
1871, 1.820489764213560e-02, -1.722909882664680e-02, 5.098044196881873e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.168752782970080e+05, 0.000000000000000e+00, 4.675011131880318e+04, 3.194547855580904e+02, 0.000000000000000e+00, 5.057116615383408e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.936554817123535e-05, 3.063353214656640e-03, -1.384167129852067e-03, -4.381529143426475e+02, 2.871588891545309e+00, 0.000000000000000e+00
1897, 1.524919271469120e-02, -1.582761853933330e-02, 5.188783113049940e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.190307339313776e+05, 0.000000000000000e+00, 4.761229357255101e+04, 3.196567871961160e+02, 0.000000000000000e+00, 5.604123209232390e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937481446679542e-05, 2.941329047816489e-03, -1.465340400059560e-03, -4.263799685636692e+02, 2.849397188129414e+00, 0.000000000000000e+00
1923, 1.256430149078370e-02, -1.441901084035630e-02, 5.291094323842842e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.214637512678249e+05, 0.000000000000000e+00, 4.858550050712995e+04, 3.198832667941760e+02, 0.000000000000000e+00, 6.221568776083429e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938520017543372e-05, 2.802178031320916e-03, -1.559239302229703e-03, -4.205396247313344e+02, 2.825892644481528e+00, 0.000000000000000e+00
1949, 1.017087697982790e-02, -1.300184894353150e-02, 5.416764615499435e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.244425417631566e+05, 0.000000000000000e+00, 4.977701670526261e+04, 3.201247452686959e+02, 0.000000000000000e+00, 6.977519405110251e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.939626967681683e-05, 2.626321666473384e-03, -1.658388062031833e-03, -4.051592767813951e+02, 2.797197075593573e+00, 0.000000000000000e+00
1975, 8.062899112701419e-03, -1.157660502940420e-02, 5.557463970669918e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.277786522024413e+05, 0.000000000000000e+00, 5.111146088097652e+04, 3.203848590450558e+02, 0.000000000000000e+00, 7.824149871077104e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.940818880130309e-05, 2.384203511045866e-03, -1.704283912242083e-03, -3.617310529689389e+02, 2.734443375276516e+00, 0.000000000000000e+00
2001, 6.177186965942380e-03, -1.014706678688530e-02, 5.686722133567506e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.308587531971112e+05, 0.000000000000000e+00, 5.234350127884447e+04, 3.206498983565940e+02, 0.000000000000000e+00, 8.605810846575679e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.942032869389933e-05, 2.103186271852613e-03, -1.674232684923735e-03, -3.025840157974662e+02, 2.631681743823758e+00, 0.000000000000000e+00
