"EVALUATION"    , "BUFFET"        , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RMS_NU_TILDE"  , "RefForce"      
57              , 0.0003334952016 , 0.007740566607  , 80.37274649     , 0.003255013107  , 0.6221702353    , 0.0             , 0.6221305976    , 0.0             , 0.0             , 0.1164658103    , 0.0             , 0.0             , 0.0             , 9538.0          , -12.00015889    , -10.18822254    , -10.65557039    , -7.540242552    , -14.35083423    , 15761.82561     
58              , 0.0006201854871 , 0.007750231914  , 80.27253679     , 0.001645589716  , 0.6221768729    , 0.0             , 0.6221307765    , 0.0             , 0.0             , 0.1118606172    , 0.0             , 0.0             , 0.0             , 9816.0          , -12.00005328    , -10.24068965    , -10.74228866    , -7.66911758     , -14.60973557    , 15761.82561     
59              , 0.0006154913774 , 0.00772965401   , 80.48632371     , 0.002564973477  , 0.6221741642    , 0.0             , 0.6221314348    , 0.0             , 0.0             , 0.1145968837    , 0.0             , 0.0             , 0.0             , 9216.0          , -12.00016917    , -10.19230186    , -10.61976928    , -7.529566586    , -14.35973263    , 15761.82561     
60              , 0.0006213646947 , 0.007689767992  , 80.90369512     , 0.002142785644  , 0.6221744776    , 0.0             , 0.6221306451    , 0.0             , 0.0             , 0.1141534425    , 0.0             , 0.0             , 0.0             , 9328.0          , -12.0000642     , -10.22616029    , -10.66091227    , -7.592195177    , -14.51028822    , 15761.82561     
61              , 0.0006248155748 , 0.007631176881  , 81.52491917     , 0.002006221029  , 0.6221746448    , 0.0             , 0.6221310784    , 0.0             , 0.0             , 0.1147543218    , 0.0             , 0.0             , 0.0             , 9461.0          , -12.00015202    , -10.2398668     , -10.69460974    , -7.600927021    , -14.58681263    , 15761.82561     
62              , 0.0006429312878 , 0.007610481159  , 81.74661807     , 0.0006364290274 , 0.6221773186    , 0.0             , 0.6221310967    , 0.0             , 0.0             , 0.1158601323    , 0.0             , 0.0             , 0.0             , 9226.0          , -12.00053667    , -10.2899198     , -10.84298806    , -7.706136377    , -14.75084408    , 15761.82561     
63              , 0.0006657344251 , 0.007768879683  , 80.07989792     , 0.001481901451  , 0.6221778323    , 0.0             , 0.6221310919    , 0.0             , 0.0             , 0.1231223102    , 0.0             , 0.0             , 0.0             , 9999.0          , -11.36492334    , -9.739465936    , -10.24767857    , -7.308280581    , -14.02660117    , 15761.82561     
64              , 0.0006449344512 , 0.00762567363   , 81.58380447     , 0.0006910505795 , 0.6221778161    , 0.0             , 0.6221314664    , 0.0             , 0.0             , 0.1164559142    , 0.0             , 0.0             , 0.0             , 8952.0          , -12.00057733    , -10.29596014    , -10.75562097    , -7.675383212    , -14.7406612     , 15761.82561     
65              , 0.0006431323869 , 0.007608366087  , 81.76935308     , 0.0006383939758 , 0.622177367     , 0.0             , 0.6221311729    , 0.0             , 0.0             , 0.1159161741    , 0.0             , 0.0             , 0.0             , 7208.0          , -12.00005721    , -10.30814252    , -10.85381924    , -7.776224564    , -14.71355191    , 15761.82561     
66              , 0.3929161633    , 0.07638807276   , 8.143646064     , 0.006663512999  , 0.6267144978    , 0.0             , 0.6220774281    , 0.0             , 0.0             , 0.05279795533   , 0.0             , 0.0             , 0.0             , 9999.0          , -6.543472261    , -3.72519975     , -3.962217463    , -1.019804948    , -7.049390192    , 15761.82561     
